Model,Year,Price,Additions,Previous Owners,Offered,Payment Method,Number of Passengers,Car Mileage,Engine Power,Glass,Transmission Type,Car License,Car Origin,Fuel Type,Car Color,Third Party,Comprehensive (Vehicle Body),Total Insurance
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2014,77000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",ا,للبيع فقط,نقدا فقط,4+1,..........o.........,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أسود,1340,1348,2688
فورد ايدج,2008,60000,"إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٣,للبيع أو التبديل,نقدا فقط,4+1,,3600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1690,1050,2740
فولكسفاجن كادي,1999,22000,,يد اولى,للبيع فقط,نقدا فقط,4+1,٣٠٠٠٠٠,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض,670,500,1170
فولكسفاجن كرافيل,2006,45000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٢,للبيع أو التبديل,إمكانية التقسيط,7+1,,2500,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1690,1000,2690
هونداي اكسنت,2013,51000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٢,للبيع فقط,نقدا فقط,4+1,٩٠ الف فقط,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,1000,2340
فولكسفاجن كرافيل,1984,7000,,يد٤,للبيع فقط,نقدا فقط,7+1,,1900,يدوي,عادي,فلسطينية,خصوصي,ديزل,كحلي,670,500,1170
تويوتا كورولا,1999,35000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",ثانية,للبيع أو التبديل,نقدا فقط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,بنفسجي,670,500,1170
هونداي سوناتا,2008,45000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,سكني,1340,1000,2340
فولكسفاجن باسات,2015,105000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,إمكانية التقسيط,4+1,110000 كم,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,1838,3178
سكودا اوكتافيا,2012,60000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",ثانيه,للبيع فقط,نقدا فقط,4+1,259,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,كحلي,1340,1050,2390
فولكسفاجن كادي,2012,60000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم",يد اولئ,للبيع فقط,نقدا فقط,6+1,٤٠٠,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,سكني,1340,1050,2390
فولكسفاجن تيجوان,2017,119000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,4+1,75000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,بني,1035,2083,3118
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا ريو,2012,32000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,إمكانية التقسيط,4+1,85000,1400,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
دايو لانوس,2002,25000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",,للبيع فقط,إمكانية التقسيط,4+1,138000,1500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,517,500,1017
كيا اوبتيما,2016,65000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد",يد ثانيه,للبيع أو التبديل,نقدا فقط,4+1,٢٣٠ الف كيلو,1700,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1340,1138,2478
أفيكو 65C18,2008,85000,"مُكيّف, جهاز إنذار, مسجل CD",,للبيع فقط,إمكانية التقسيط,,,2500,الكتروني,عادي,فلسطينية,حكومي,ديزل,أبيض,1690,1488,3178
فولكسفاجن كادي,2017,105000,"إغلاق مركزي, جهاز إنذار, مسجل CD",مستورد,للبيع فقط,نقدا فقط,6+1,,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,سكني,1340,1838,3178
فولكسفاجن كادي,2008,61000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,6+1,,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أخضر,1340,1068,2408
ميتسوبيشي لانسر,1996,37000,"مُكيّف, إغلاق مركزي, جهاز إنذار, فتحة سقف, جنطات مغنيسيوم",6,للبيع فقط,إمكانية التقسيط,4+1,00000,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,670,500,1170
ايسوزو تروبر,2000,18000,"إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,إمكانية التقسيط,6+1,10000,3100,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أخضر,845,500,1345
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا سورينتو,2007,50000,"مُكيّف, إغلاق مركزي, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,7+1,,2500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,رصاصي,1690,1000,2690
نيسان تيرانو,1999,55000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد",,للبيع فقط,إمكانية التقسيط,6+1,,2700,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض,845,500,1345
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا سوبيرب,2013,85000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع فقط,إمكانية التقسيط,4+1,٢٠٠الف,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,1488,2828
سيت ابيزا,2017,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",000,للبيع أو التبديل,إمكانية التقسيط,4+1,00000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أزرق سماوي,1035,1050,2085
فولكسفاجن باسات,2002,33000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",4,للبيع أو التبديل,نقدا فقط,4+1,170000,1900,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أزرق,670,500,1170
دايو ماتيز,2007,7000,,,للبيع فقط,نقدا فقط,,,1200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق سماوي,1035,1000,2035
فولكسفاجن بولو,1999,15000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",٥,للبيع أو التبديل,نقدا فقط,4+1,,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,670,500,1170
دراجة نارية Joymax 2014,2014,15000,جهاز إنذار,2,للبيع فقط,إمكانية التقسيط,1+1,300000,250,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,935,1000,1935
سكودا اوكتافيا,2009,52000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",يد اولى ( شركة ),للبيع فقط,نقدا فقط,4+1,117000,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض,,,
اودي Q5,2014,138000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,إمكانية التقسيط,4+1,115000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,2416,3756
فولكسفاجن جولف,1996,37000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,4+1,00,1800,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أحمر,670,500,1170
فولكسفاجن جولف,2002,38000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",6,للبيع أو التبديل,إمكانية التقسيط,4+1,200000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أسود,517,500,1017
بي ام دبليو 320,1978,18000,"إغلاق مركزي, فتحة سقف, جنطات مغنيسيوم, فرش جلد",,للبيع فقط,نقدا فقط,4+1,000000,2000,يدوي,عادي,فلسطينية,خصوصي,بنزين,ذهبي,670,500,1170
هونداي اكسنت,2016,65000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,إمكانية التقسيط,4+1,60000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1138,2173
فولكسفاجن بولو,2017,66000,"مُكيّف, جنطات مغنيسيوم",5,للبيع فقط,نقدا فقط,4+1,85,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أسود,1035,1155,2190
بيجو 207,2008,40000,"جنطات مغنيسيوم, فرش جلد",,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أحمر,1340,1000,2340
اوبل اسكونا,1984,14000,"مسجل CD, جنطات مغنيسيوم, فرش جلد",,للبيع أو التبديل,نقدا فقط,4+1,,1300,يدوي,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا برايد,2016,47000,"مُكيّف, إغلاق مركزي, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,٢٩٠٠٠,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,سكني,1035,1000,2035
فولكسفاجن بورا,2004,50000,"إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٣,للبيع أو التبديل,إمكانية التقسيط,,,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1340,1000,2340
شفروليه سوبيربان,1998,40000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد",,للبيع فقط,نقدا فقط,6+1,,6600,الكتروني,اوتوماتيك,فلسطينية,حكومي,ديزل,أسود,845,500,1345
رينو R9,1984,10000,"مُكيّف, إغلاق مركزي, جهاز إنذار",١٥,للبيع فقط,إمكانية التقسيط,4+1,٠٠٠٠٠٠,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
تويوتا راف,2010,120000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,100000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1340,2100,3440
هونداي اكسنت,2013,52000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع أو التبديل,إمكانية التقسيط,4+1,85000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
بي ام دبليو  330 e,2019,249000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,9000,2000,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,هايبرد,أبيض,1340,4358,5698
سكودا اوكتافيا,2003,28000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد تالته,للبيع فقط,نقدا فقط,4+1,47500,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
سوبارو عريض,1988,18000,مسجل CD,,للبيع فقط,نقدا فقط,4+1,,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
هونداي الانترا,2006,40000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد",,للبيع أو التبديل,إمكانية التقسيط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1000,2340
سوبارو نملة,1982,2300,,,للبيع فقط,نقدا فقط,4+1,,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
مرسيدس 313,1996,40000,مسجل CD,3,للبيع أو التبديل,إمكانية التقسيط,2+1,000000,180,يدوي,عادي,فلسطينية,تجاري,ديزل,أبيض,467,500,967
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي اكسنت,2015,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد رابعه,للبيع أو التبديل,نقدا فقط,4+1,45000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1050,2085
اوبل اسكونا,1982,130000,"إغلاق مركزي, جنطات مغنيسيوم",,للبيع فقط,نقدا فقط,,,1300,يدوي,عادي,فلسطينية,خصوصي,بنزين,أزرق سماوي,517,1137,1655
سوبارو امبريزا,1997,38000,"مُكيّف, جهاز إنذار, مسجل CD, فتحة سقف, فرش جلد",3,للبيع أو التبديل,إمكانية التقسيط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
فولكسفاجن باسات,2006,48000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,إمكانية التقسيط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,كحلي,1340,1000,2340
كيا سورينتو,2012,80000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",اولى,للبيع فقط,نقدا فقط,6+1,,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1690,1401,3090
بيجو 305,1983,2500,"مُكيّف, فرش جلد",4,للبيع أو التبديل,نقدا فقط,4+1,,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,فضي,670,500,1170
فورد فيستا,2013,36500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",١,للبيع أو التبديل,نقدا فقط,4+1,,1250,الكتروني,عادي,فلسطينية,خصوصي,بنزين,بني,1035,1000,2035
سوبارو امبريزا,2002,3500,جنطات مغنيسيوم,,للبيع فقط,نقدا فقط,,,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,أسود,670,500,1170
كيا اوبتيما,2015,65000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,إمكانية التقسيط,4+1,80000,1700,الكتروني,اوتوماتيك,فلسطينية,عمومي,ديزل,أبيض عاجي,1340,1138,2478
هونداي اكسنت,2014,51000,"مُكيّف, إغلاق مركزي, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",اول,للبيع فقط,نقدا فقط,4+1,٧٩,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,1035,1000,2035
دراجة نارية فزبه سيم,2014,15000,,٢,للبيع أو التبديل,إمكانية التقسيط,1+1,٢٠٠٠,250,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,935,1000,1935
فولكسفاجن تيجوان,2010,100000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٢,للبيع أو التبديل,إمكانية التقسيط,4+1,١٣١,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,1751,3090
اودي 80,1992,12000,"مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
فولكسفاجن جولف,2010,78000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد",يد ثالثة,للبيع فقط,إمكانية التقسيط,4+1,17000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,1035,1366,2400
بي ام دبليو 320,1987,43000,"مُكيّف, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم",12,للبيع أو التبديل,نقدا فقط,4+1,!!!!,2500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رمادي,845,500,1345
سكودا MPI,2008,55000,وسادة حماية هوائية,,للبيع فقط,إمكانية التقسيط,,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رصاصي,1340,1000,2340
دايو لانوس,2002,22500,,,للبيع فقط,إمكانية التقسيط,,,1500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,سكني,517,500,1017
سكودا فابيا,2017,68000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",00,للبيع أو التبديل,نقدا فقط,4+1,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أزرق,1035,1190,2225
هونداي سانتافيه,2009,72000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",4,للبيع أو التبديل,إمكانية التقسيط,6+1,197000,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1690,1261,2950
اوبل كورسا,2015,65000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع فقط,إمكانية التقسيط,4+1,8000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1035,1138,2173
كيا سبورتاج,2014,90000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,132000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1576,2915
بيجو بارتنر,2014,55000,"مُكيّف, إغلاق مركزي, وسادة حماية هوائية",٣,للبيع فقط,نقدا فقط,4+1,١٧٩٠٠٠,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,بترولي,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2016,60000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,نقدا فقط,4+1,٢٥٠٠٠,1600,الكتروني,عادي,فلسطينية,عمومي,ديزل,أصفر,1340,1050,2390
ستروين C-Elysee,2014,42000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,4+1,90000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رصاصي,1035,1000,2035
فولكسفاجن بولو,2007,40000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",4,للبيع فقط,نقدا فقط,4+1,18000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رمادي,1035,1000,2035
هونداي اكسنت,2016,59000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,49000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1340,1033,2373
بي ام دبليو 320,2005,45000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",4,للبيع أو التبديل,نقدا فقط,4+1,200000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1000,2340
هونداي اكسنت,2016,63000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,4+1,59000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1103,2138
فيات بونتو,2002,23000,"إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,إمكانية التقسيط,4+1,224000,1300,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أزرق,517,500,1017
هونداي i30,2014,64000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,,43000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,خمري,1340,1120,2460
كيا فورتي,2017,69000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,47000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فيراني,1340,1208,2548
سكودا فابيا,2007,31000,وسادة حماية هوائية,,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولكسفاجن باسات,2006,36000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",7,للبيع فقط,نقدا فقط,4+1,2000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,1000,2340
بي ام دبليو 320,2014,115000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,85000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,1340,2013,3353
فورد فوكس,2013,47000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1340,1000,2340
كيا مورننغ,2018,47000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد صفر,للبيع فقط,نقدا فقط,4+1,18الف فقط,1000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,935,1000,1935
فولكسفاجن GTI,2008,59000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",12,للبيع أو التبديل,إمكانية التقسيط,4+1,168000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1340,1033,2373
سكودا فابيا,2009,36500,"جهاز إنذار, مسجل CD, فرش جلد",,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أسود ميتالك,1035,1000,2035
سكودا اوكتافيا,2017,90000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,1576,2915
ستروين C1,2015,37000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,3+1,71000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,جيشي,1035,1000,2035
فولكسفاجن بولو,2018,61000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فيراني,1035,1068,2103
سوبارو عريض,1988,16000,,,للبيع فقط,نقدا فقط,,,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,رصاصي,670,500,1170
بيجو 301,2016,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,4+1,40000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1050,2390
كيا ريو,2014,35000,,,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1035,1000,2035
فولكسفاجن باسات,2005,35000,"مُكيّف, مسجل CD, جنطات مغنيسيوم, فرش جلد",,للبيع أو التبديل,إمكانية التقسيط,4+1,,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أزرق,1340,1000,2340
هونداي اكسنت,2005,24000,"مُكيّف, إغلاق مركزي",,للبيع أو التبديل,نقدا فقط,4+1,280000,1500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,1035,1000,2035
سانغ يونغ ركستون,2011,78000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,6+1,,2700,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1690,1366,3055
كيا سورينتو,2013,95000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,6+1,110000,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,رمادي,1690,1663,3353
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2012,85000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,260000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض,1340,1488,2828
